feature,coefficient,abs_coef
cat__BasementFinishType2_Rec,0.03922662249706409,0.03922662249706409
cat__BusinessDistrict_OldTown,0.03888930520484739,0.03888930520484739
cat__PlotConfiguration_Corner,-0.0387681310898446,0.0387681310898446
cat__BusinessDistrict_Crawfor,-0.038171444302130805,0.038171444302130805
cat__ExteriorCovering2_Wd Sdng,-0.03789182390412146,0.03789182390412146
cat__BuildingType_TwnhsE,0.037562004334261365,0.037562004334261365
cat__RoofType_Shed,0.036672266842028185,0.036672266842028185
cat__RoofMaterial_Tar&Grv,-0.03656269531027563,0.03656269531027563
cat__ExteriorCovering2_Stucco,-0.03570006664096857,0.03570006664096857
cat__ListingCondition_Partial,0.03554419716686933,0.03554419716686933
cat__BasementCondition_Gd,0.03485588532788,0.03485588532788
cat__BusinessDistrict_NWAmes,-0.03472240265492324,0.03472240265492324
cat__RoofType_Hip,-0.0340884573956904,0.0340884573956904
cat__ExteriorCovering2_VinylSd,-0.033955597039474796,0.033955597039474796
cat__FunctionalityRating_Sal,0.0338793632713119,0.0338793632713119
cat__ExteriorCovering2_HdBoard,-0.03287980890665063,0.03287980890665063
cat__HeatingType_GasA,-0.032732915324548646,0.032732915324548646
cat__BusinessDistrict_CollgCr,-0.03261310523222058,0.03261310523222058
cat__RoofType_Flat,-0.03246485623199586,0.03246485623199586
cat__HeatingType_GasW,-0.032176997211731374,0.032176997211731374
num__StreetFrontage,-0.031824958091632244,0.031824958091632244
cat__Proximity1_PosA,0.031399879693671535,0.031399879693671535
cat__ExteriorCovering1_Stucco,-0.030666809280218466,0.030666809280218466
cat__BusinessDistrict_Blueste,-0.029780059202915238,0.029780059202915238
cat__ExteriorCovering1_BrkComm,0.029710758570162726,0.029710758570162726
num__FinishedBasementArea1,0.02944376200429155,0.02944376200429155
cat__BuildingStyle_1.5Unf,-0.02940016714553519,0.02940016714553519
cat__BuildingStyle_2Story,-0.029220184706688395,0.029220184706688395
cat__ConferenceRoomQuality_Po,0.02894606248314188,0.02894606248314188
cat__Perimeter_MnWw,0.02879373154565657,0.02879373154565657
num__EnclosedBalconyArea,0.028754038896748022,0.028754038896748022
cat__BasementCondition_TA,-0.02855126155211053,0.02855126155211053
cat__RoofMaterial_WdShngl,-0.028144108945561207,0.028144108945561207
cat__PlotSlope_Mod,-0.02759475587881551,0.02759475587881551
cat__ZoningClassification_RH,-0.027283043266550434,0.027283043266550434
cat__LandFlatness_Lvl,0.027015607146006423,0.027015607146006423
cat__BasementExposure_Av,0.025026463541562106,0.025026463541562106
cat__RoofMaterial_WdShake,-0.02472103850965752,0.02472103850965752
cat__ListingType_WD,-0.024709240790546618,0.024709240790546618
cat__RoofMaterial_Metal,0.02468185412197502,0.02468185412197502
cat__ExteriorCovering1_AsphShn,0.024585797520428082,0.024585797520428082
num__BuildingCondition,0.02409419706064184,0.02409419706064184
cat__PlotShape_IR3,-0.023622883562097203,0.023622883562097203
cat__ExteriorCovering2_MetalSd,-0.02325918919397486,0.02325918919397486
cat__PlotConfiguration_Inside,-0.022301657153755775,0.022301657153755775
cat__BasementFinishType1_ALQ,0.022249026868478943,0.022249026868478943
cat__BusinessDistrict_Edwards,-0.021881854304591587,0.021881854304591587
num__HalfRestrooms,0.02187147162404643,0.02187147162404643
cat__ElectricalSystem_FuseA,0.021684169140239375,0.021684169140239375
cat__PlotShape_Reg,0.021356818612106494,0.021356818612106494
cat__HeatingType_Grav,0.020856409156188905,0.020856409156188905
cat__Perimeter_GdPrv,0.020591766731669264,0.020591766731669264
cat__RoofMaterial_ClyTile,0.02052152360267775,0.02052152360267775
cat__ListingType_Oth,-0.020451887214607316,0.020451887214607316
cat__Proximity1_Artery,0.01973538499506679,0.01973538499506679
cat__ListingType_New,0.019618351743991805,0.019618351743991805
cat__PlotSlope_Sev,-0.01955192592940085,0.01955192592940085
cat__BusinessDistrict_Somerst,-0.01942588120472725,0.01942588120472725
cat__BusinessDistrict_Gilbert,0.019200492876910346,0.019200492876910346
cat__ExteriorCovering2_Stone,-0.01911892428025506,0.01911892428025506
num__ScreenedArea,-0.01826982700283303,0.01826982700283303
num__LowQualityArea,-0.017988124629983678,0.017988124629983678
cat__RoofType_Gambrel,0.01738723585682754,0.01738723585682754
cat__UtilitiesAvailable_NoSeWa,0.017218640216909484,0.017218640216909484
cat__ExteriorCovering1_Plywood,0.01709855946909245,0.01709855946909245
cat__UtilitiesAvailable_AllPub,-0.017061529878770472,0.017061529878770472
cat__BuildingType_Twnhs,0.016452461089308142,0.016452461089308142
